"variable","GND","real","alpha","model"
"X97",0.05,0.95368350633301,"3.31",0.999999999898545
"X97",0.15,0.945682594878943,"3.31",0.999999999898135
"X97",0.25,0.94581442099264,"3.31",0.999999996721592
"X97",0.35,0.949825992545012,"3.31",0.999999580176844
"X97",0.45,0.929559752566868,"3.31",0.999990717449428
"X97",0.55,0.902592106813498,"3.31",0.999921348991745
"X97",0.65,0.861163641461036,"3.31",0.999626083232712
"X97",0.75,0.85512075886007,"3.31",0.998779040794167
"X97",0.95,0.853827556165582,"3.31",0.993538352990972
"X97",1.05,0.868092437814826,"3.31",0.98817500791981
"X97",1.15,0.850875645625972,"3.31",0.98048998847526
"X97",1.25,0.842713517913142,"3.31",0.970297117632074
"X97",1.35,0.795196076092771,"3.31",0.957562733632428
"X97",1.45,0.763661036480784,"3.31",0.942383505826951
"X97",1.55,0.755458375247784,"3.31",0.924954685558636
"X97",1.65,0.743732498628416,"3.31",0.905537170445474
"X97",1.75,0.737571456985371,"3.31",0.884428195235273
"X97",1.85,0.712136373671006,"3.31",0.861937737083573
"X97",1.95,0.694324833263167,"3.31",0.838370990101843
"X97",10.05,0.0208553695786682,"3.31",0.0585234675557132
"X97",10.15,0.0249906820587343,"3.31",0.0570883935818298
"X97",10.25,0.0213206812998362,"3.31",0.0556981351992445
"X97",10.35,0.0203356008112562,"3.31",0.0543510108506945
"X97",10.45,0.018737240180337,"3.31",0.0530454117722777
"X97",10.55,0.0209173800751181,"3.31",0.0517797985145546
"X97",10.65,0.0180122007874049,"3.31",0.0505526976014125
"X97",10.75,0.0182809662172864,"3.31",0.0493626983169964
"X97",10.85,0.0176299929716243,"3.31",0.0482084497435469
"X97",10.95,0.021342460491697,"3.31",0.0470886579082103
"X97",11.05,0.0265853780159055,"3.31",0.0460020830968154
"X97",11.15,0.0281420276265177,"3.31",0.0449475372584888
"X97",11.25,0.0234772894751107,"3.31",0.0439238816404828
"X97",11.35,0.0221717694237648,"3.31",0.0429300244481124
"X97",11.45,0.0190858342439423,"3.31",0.0419649186735142
"X97",11.55,0.0208270527060808,"3.31",0.0410275600248017
"X97",11.65,0.0231279811413676,"3.31",0.0401169849607262
"X97",11.75,0.022648228627541,"3.31",0.0392322688248457
"X97",11.85,0.0222195882344306,"3.31",0.0383725240737907
"X97",11.95,0.018956000380096,"3.31",0.0375368985945143
"X97",12.05,0.0190604773312318,"3.31",0.0367245741057121
"X97",12.15,0.0207241427599813,"3.31",0.0359347646388668
"X97",12.25,0.0167282781100837,"3.31",0.0351667150946349
"X97",12.35,0.0159323758657625,"3.31",0.0344196998705321
"X97",12.45,0.0143286326893201,"3.31",0.033693021556138
"X97",12.55,0.016027176642771,"3.31",0.0329860096920448
"X97",12.65,0.0149160069423539,"3.31",0.0322980195895816
