"variable","GND","real","alpha","model"
"X97",12.75,0.0125061763890291,"3.31",0.0316284312075763
"X97",12.85,0.0136054605902089,"3.31",0.0309766480834657
"X97",12.95,0.0137157661703275,"3.31",0.0303420963160372
"X97",13.05,0.014891064315458,"3.31",0.0297242235964449
"X97",13.15,0.0135335829774748,"3.31",0.0291224982858703
"X97",13.25,0.0144234926768439,"3.31",0.0285364085367477
"X97",13.35,0.0126507805741241,"3.31",0.0279654614555583
"X97",13.45,0.01229396346536,"3.31",0.0274091823050068
"X97",13.55,0.0119023696347711,"3.31",0.0268671137345945
"X97",13.65,0.0104747028918481,"3.31",0.0263388150914714
"X97",13.75,0.010189459372048,"3.31",0.0258238616752484
"X97",13.85,0.00906944427941589,"3.31",0.0253218441144598
"X97",13.95,0.00858108761418321,"3.31",0.0248323677284722
"X97",14.05,0.00878673720586124,"3.31",0.024355051927169
"X97",14.15,0.00764966192272786,"3.31",0.0238895296470791
"X97",14.25,0.00714760854037636,"3.31",0.0234354467681056
"X97",14.35,0.00625380500782674,"3.31",0.0229924616455965
"X97",14.45,0.00568760239598085,"3.31",0.0225602445753489
"X97",14.55,0.00421140453445645,"3.31",0.0221384773261519
"X97",14.65,0.00423725620216061,"3.31",0.0217268526845115
"X97",14.75,0.00355382100351428,"3.31",0.0213250740195569
"X97",14.85,0.00298362780722636,"3.31",0.0209328548671473
"X97",14.95,0.00280375123755663,"3.31",0.0205499185322455
"X97",15.05,0.00237193356798013,"3.31",0.0201759977086636
"X97",15.15,0.00228562659155011,"3.31",0.019810834115438
"X97",15.25,0.00201115323353502,"3.31",0.0194541781488003
"X97",15.35,0.00184023421889208,"3.31",0.0191057885493208
"X97",15.45,0.00176133540017237,"3.31",0.0187654320832624
"X97",15.55,0.00156025948919345,"3.31",0.0184328832375709
"X97",15.65,0.00165177124180564,"3.31",0.0181079239278425
"X97",15.75,0.0014039236346712,"3.31",0.0177903432186615
"X97",15.85,0.00113930673083422,"3.31",0.0174799370557306
"X97",15.95,0.000948668604721376,"3.31",0.0171765080092452
"X97",16.05,0.000943762071776929,"3.31",0.016879865027992
"X97",16.15,0.000878160614914713,"3.31",0.0165898232036777
"X97",16.25,0.000889597825456679,"3.31",0.0163062035450179
"X97",16.35,0.000839195485598255,"3.31",0.0160288327611414
"X97",16.45,0.000820526221674669,"3.31",0.0157575430538844
"X97",16.55,0.00077944700017945,"3.31",0.0154921719185737
"X97",16.65,0.000799541022405092,"3.31",0.0152325619529145
"X97",16.75,0.000756631522229698,"3.31",0.0149785606736196
"X97",16.85,0.000714692120959109,"3.31",0.0147300203404334
"X97",16.95,0.000686098276547385,"3.31",0.0144867977872213
"X97",17.05,0.000667611102202431,"3.31",0.0142487542598109
"X97",17.15,0.000657092061621489,"3.31",0.0140157552602876
"X97",17.25,0.000601986247932022,"3.31",0.0137876703974598
"X97",17.35,0.000563810104453032,"3.31",0.0135643732432231
"X97",17.45,0.00055322841263323,"3.31",0.013345741194568
"X97",17.55,0.000528762740961964,"3.31",0.0131316553409846
"X97",17.65,0.000488950428717756,"3.31",0.01292200033703
"X97",17.75,0.000496352186149465,"3.31",0.0127166642798398
"X97",17.85,0.000424348239876955,"3.31",0.0125155385913642
"X97",17.95,0.000371176626671052,"3.31",0.0123185179051363
"X97",18.05,0.000324065586037571,"3.31",0.0121254999573729
"X97",18.15,0.000254317770624632,"3.31",0.011936385482226
"X97",18.25,0.000227987947991161,"3.31",0.0117510781110112
"X97",18.35,0.000182267454961225,"3.31",0.0115694842752445
"X97",18.45,0.00013102657635752,"3.31",0.0113915131133285
"X97",18.55,8.54634892674148e-05,"3.31",0.011217076380736
"X97",18.65,6.23023691733072e-05,"3.31",0.0110460883635452
"X97",18.75,5.13261838263701e-05,"3.31",0.0108784657951899
"X97",18.85,1.8353304918708e-05,"3.31",0.0107141277762892
"X97",18.95,1.46815325527187e-05,"3.31",0.0105529956974333
"X97",19.05,1.19163597591464e-05,"3.31",0.0103949931648027
"X97",19.15,9.82176815784004e-06,"3.31",0.0102400459285073
"X97",19.25,1.78316725936754e-06,"3.31",0.0100880818135328
"X97",19.35,1.81652787752385e-06,"3.31",0.00993903065319228
"X97",19.45,8.60449563051304e-07,"3.31",0.00979282422497905
"X97",19.55,0,"3.31",0.0096493961887273
"X97",19.65,8.99335726937315e-07,"3.31",0.00950868202821523
"X97",19.75,0,"3.31",0.00937061898872691
"X97",19.85,0,"3.31",0.00923514602903339
"X97",19.95,0,"3.31",0.00910220376293419
"X97",2.05,0.67077370234157,"3.31",0.814016339581719
"X97",2.15,0.656348839170393,"3.31",0.789137871704371
"X97",2.25,0.645801352821935,"3.31",0.763971385452856
"X97",2.35,0.623801859550121,"3.31",0.738722961695843
"X97",2.45,0.607423074566626,"3.31",0.713569302572459
"X97",2.55,0.606561214914584,"3.31",0.688659220335683
"X97",2.65,0.605318063590379,"3.31",0.664115810366442
"X97",2.75,0.57876229529102,"3.31",0.640038973790224
"X97",2.85,0.556088849280443,"3.31",0.616508055311696
"X97",2.95,0.550776124466845,"3.31",0.59358444208419
"X97",20.05,0,"3.31",0.00897173440888738
"X97",20.15,0,"3.31",0.00884368174021377
"X97",20.25,0,"3.31",0.00871799103703869
"X97",20.35,0,"3.31",0.00859460903991031
"X97",20.45,0,"3.31",0.00847348390502514
"X97",20.55,0,"3.31",0.00835456516100032
"X97",20.65,1.55723827975917e-06,"3.31",0.00823780366713365
"X97",20.75,0,"3.31",0.00812315157309404
"X97",20.85,0,"3.31",0.00801056227998832
"X97",20.95,0,"3.31",0.00789999040275182
"X97",21.05,0,"3.31",0.00779139173381341
"X97",21.15,0,"3.31",0.00768472320798582
"X97",21.25,0,"3.31",0.00757994286853747
"X97",21.35,0,"3.31",0.00747700983439906
"X97",21.45,0,"3.31",0.00737588426846476
"X97",21.55,0,"3.31",0.00727652734694649
"X97",21.65,0,"3.31",0.00717890122974279
"X97",21.75,0,"3.31",0.00708296903178466
"X97",21.85,0,"3.31",0.00698869479532285
"X97",21.95,0,"3.31",0.00689604346312215
"X97",22.05,1.36801950178678e-06,"3.31",0.0068049808525296
"X97",22.15,0,"3.31",0.0067154736303851
"X97",22.25,0,"3.31",0.00662748928874392
"X97",22.35,0,"3.31",0.00654099612138196
"X97",22.45,0,"3.31",0.00645596320105566
"X97",22.55,0,"3.31",0.00637236035748965
"X97",22.65,0,"3.31",0.00629015815606626
"X97",22.75,0,"3.31",0.00620932787719204
"X97",22.85,0,"3.31",0.00612984149631723
"X97",22.95,0,"3.31",0.00605167166458552
"X97",23.05,0,"3.31",0.00597479169009145
"X97",23.15,0,"3.31",0.00589917551972502
"X97",23.25,0,"3.31",0.00582479772158222
"X97",23.35,0,"3.31",0.00575163346792245
"X97",23.45,0,"3.31",0.00567965851865368
"X97",23.55,0,"3.31",0.00560884920532726
"X97",23.65,0,"3.31",0.00553918241562474
"X97",23.75,0,"3.31",0.00547063557832004
"X97",23.85,0,"3.31",0.00540318664870078
"X97",23.95,0,"3.31",0.00533681409539555
"X97",24.05,0,"3.31",0.00527149688281594
"X97",24.15,0,"3.31",0.00520721446364179
"X97",24.25,0,"3.31",0.00514394676208143
"X97",24.35,0,"3.31",0.00508167416230907
"X97",24.45,0,"3.31",0.00502037749636079
"X97",24.55,0,"3.31",0.00496003803234633
"X97",24.65,0,"3.31",0.00490063746206848
"X97",24.75,0,"3.31",0.00484215789379375
"X97",24.85,0,"3.31",0.00478458183571433
"X97",24.95,0,"3.31",0.00472789219032456
"X97",25.05,0,"3.31",0.00467207223947147
"X97",25.15,0,"3.31",0.00461710564029227
"X97",25.25,0,"3.31",0.00456297641180983
"X97",25.35,0,"3.31",0.0045096689266193
"X97",25.45,0,"3.31",0.00445716790187987
"X97",25.55,0,"3.31",0.00440545839056578
"X97",25.65,0,"3.31",0.00435452577296819
"X97",25.75,0,"3.31",0.00430435574844033
"X97",25.85,0,"3.31",0.00425493432737761
"X97",25.95,0,"3.31",0.00420624782342618
"X97",26.05,0,"3.31",0.00415828284590958
"X97",26.15,0,"3.31",0.0041110262924739
"X97",26.25,0,"3.31",0.00406446534193492
"X97",26.35,0,"3.31",0.00401858744732831
"X97",26.45,0,"3.31",0.00397338032915325
"X97",26.55,0,"3.31",0.00392883196880445
"X97",26.65,0,"3.31",0.00388493060218632
"X97",26.75,0,"3.31",0.00384166471350382
"X97",26.85,0,"3.31",0.0037990230292246
"X97",26.95,0,"3.31",0.00375699451220709
"X97",27.05,0,"3.31",0.00371556835598939
"X97",27.15,0,"3.31",0.00367473397827812
"X97",27.25,0,"3.31",0.00363448101936928
"X97",27.35,0,"3.31",0.00359479933115372
"X97",27.45,0,"3.31",0.00355567897582724
"X97",27.55,0,"3.31",0.0035171102199572
"X97",27.65,0,"3.31",0.0034790835296392
"X97",27.75,0,"3.31",0.00344158956578369
"X97",27.85,0,"3.31",0.00340461917952821
"X97",27.95,0,"3.31",0.00336816340777209
"X97",28.05,0,"3.31",0.00333221346882944
"X97",28.15,0,"3.31",0.00329676075819727
"X97",28.25,0,"3.31",0.00326179684443525
"X97",28.35,0,"3.31",0.00322731346515379
"X97",28.45,0,"3.31",0.0031933025231073
"X97",28.55,0,"3.31",0.00315975608238954
"X97",28.65,0,"3.31",0.00312666636472819
"X97",28.75,0,"3.31",0.00309402574587551
"X97",28.85,0,"3.31",0.0030618267520929
"X97",28.95,0,"3.31",0.00303006205672475
"X97",29.05,0,"3.31",0.00299872447686321
"X97",29.15,0,"3.31",0.00296780697009591
"X97",29.25,0,"3.31",0.00293730263133815
"X97",29.35,0,"3.31",0.00290720468974565
"X97",29.45,0,"3.31",0.0028775065057058
"X97",29.55,0,"3.31",0.00284820156790523
"X97",29.65,0,"3.31",0.00281928349047146
"X97",29.75,0,"3.31",0.0027907460101866
"X97",29.85,0,"3.31",0.00276258298377108
"X97",29.95,0,"3.31",0.00273478838628401
"X97",3.05,0.531891474575201,"3.31",0.571314025817091
"X97",3.15,0.507064545925305,"3.31",0.549729474416742
"X97",3.25,0.49637861576212,"3.31",0.528852282502075
"X97",3.35,0.475353532594131,"3.31",0.50869459777977
"X97",3.45,0.465682123797356,"3.31",0.489260824505855
"X97",3.55,0.453131188755713,"3.31",0.470549018616379
"X97",3.65,0.434705975956314,"3.31",0.452552090696098
"X97",3.75,0.429774932064251,"3.31",0.435258835589088
"X97",3.85,0.411005939637164,"3.31",0.418654807746412
"X97",3.95,0.396339839756212,"3.31",0.402723060823531
"X97",30.05,0,"3.31",0.00270735630428769
"X97",30.15,0,"3.31",0.00268028093986103
"X97",30.25,0,"3.31",0.00265355660358567
"X97",30.35,0,"3.31",0.00262717771344602
"X97",30.45,0,"3.31",0.00260113879243176
"X97",30.55,0,"3.31",0.00257543446625998
"X97",30.65,0,"3.31",0.00255005946115325
"X97",30.75,0,"3.31",0.00252500860167204
"X97",30.95,0,"3.31",0.00247585909688129
"X97",4.05,0.379424518985287,"3.31",0.387444768884936
"X97",4.15,0.365417339925517,"3.31",0.372799745113719
"X97",4.25,0.357668137879773,"3.31",0.358766872338959
"X97",4.35,0.335228097804012,"3.31",0.345324458099899
"X97",4.45,0.330456954649916,"3.31",0.332450525435196
"X97",4.55,0.320849774718453,"3.31",0.320123049159456
"X97",4.65,0.311466784074028,"3.31",0.308320146089189
"X97",4.75,0.296212417509407,"3.31",0.297020226513105
"X97",4.85,0.279480782916856,"3.31",0.286202113167368
"X97",4.95,0.266894837165359,"3.31",0.275845133066985
"X97",5.05,0.259513812912307,"3.31",0.265929186752058
"X97",5.15,0.245515804974471,"3.31",0.256434798820555
"X97",5.25,0.232320818188561,"3.31",0.247343153026573
"X97",5.35,0.215148780258866,"3.31",0.238636114714181
"X97",5.45,0.204323813755998,"3.31",0.230296242920881
"X97",5.55,0.18675080627896,"3.31",0.222306794113236
"X97",5.65,0.173189718283297,"3.31",0.214651719199821
"X97",5.75,0.163756206447404,"3.31",0.20731565519825
"X97",5.85,0.145221654096163,"3.31",0.200283912704521
"X97",5.95,0.151736883800467,"3.31",0.193542460120026
"X97",6.05,0.134678597746842,"3.31",0.187077905426565
"X97",6.15,0.135949555600699,"3.31",0.180877476174842
"X97",6.25,0.148958122008983,"3.31",0.174928998166161
"X97",6.35,0.143116170939838,"3.31",0.169220873526547
"X97",6.45,0.130668145097158,"3.31",0.163742058179394
"X97",6.55,0.13740725971713,"3.31",0.158482037994405
"X97",6.65,0.124618204749776,"3.31",0.153430808347251
"X97",6.75,0.114895641177491,"3.31",0.148578850042844
"X97",6.85,0.102936674133973,"3.31",0.143917107797675
"X97",6.95,0.0953508140454368,"3.31",0.13943696876277
"X97",7.05,0.0918246916648631,"3.31",0.135130241644155
"X97",7.15,0.0885838854850022,"3.31",0.13098913648368
"X97",7.25,0.0789717853175324,"3.31",0.127006245144462
"X97",7.35,0.0715777705737312,"3.31",0.123174522529534
"X97",7.45,0.0759859516154061,"3.31",0.119487268550367
"X97",7.55,0.0711146266416421,"3.31",0.115938110851195
"X97",7.65,0.0638192543876153,"3.31",0.112520988287678
"X97",7.75,0.0619396024136149,"3.31",0.10923013515146
"X97",7.85,0.0599809538793934,"3.31",0.106060066127429
"X97",7.95,0.055959587253584,"3.31",0.103005561966497
"X97",8.05,0.0539649107543283,"3.31",0.100061655853787
"X97",8.15,0.0438272248086751,"3.31",0.097223620449918
"X97",8.25,0.0458861392721721,"3.31",0.0944869555815983
"X97",8.35,0.0404521630176786,"3.31",0.0918473765566969
"X97",8.45,0.0362781953417001,"3.31",0.0893008030784175
"X97",8.55,0.0395572983101398,"3.31",0.0868433487329761
"X97",8.65,0.0368466437937175,"3.31",0.0844713110251521
"X97",8.75,0.037637794585203,"3.31",0.0821811619369087
"X97",8.85,0.035974671502033,"3.31",0.0799695389832872
"X97",8.95,0.0295013558801646,"3.31",0.0778332367420781
"X97",9.05,0.0308197358450244,"3.31",0.075769198834372
"X97",9.15,0.0336759197923215,"3.31",0.0737745103314775
"X97",9.25,0.031472053010363,"3.31",0.0718463905677437
"X97",9.35,0.0227420984844308,"3.31",0.0699821863375911
"X97",9.45,0.0195537872482232,"3.31",0.0681793654566156
"X97",9.55,0.0205602935484473,"3.31",0.0664355106674246
"X97",9.65,0.0200772855501631,"3.31",0.0647483138717307
"X97",9.75,0.0254511622475931,"3.31",0.063115570671102
"X97",9.85,0.0263950194423161,"3.31",0.0615351751996198
"X97",9.95,0.0262267716188192,"3.31",0.060005115232521
"X97.5",0.05,0.953042435498379,"3.31",0.999999999898545
"X97.5",0.15,0.943678948827508,"3.31",0.99999999976884
"X97.5",0.25,0.939846761993056,"3.31",0.999999809385529
"X97.5",0.35,0.944622824206439,"3.31",0.999990026172433
"X97.5",0.45,0.924768207450544,"3.31",0.999878748901346
"X97.5",0.55,0.894353161337668,"3.31",0.999325528473417
"X97.5",0.65,0.851882321329969,"3.31",0.997654533823165
"X97.5",0.75,0.844178219678234,"3.31",0.993985245477834
"X97.5",0.95,0.835661012417379,"3.31",0.977541720294369
"X97.5",1.05,0.832361311388548,"3.31",0.963903994585954
"X97.5",1.15,0.827737734017575,"3.31",0.946610556348546
"X97.5",1.25,0.819299611596993,"3.31",0.925948560884156
"X97.5",1.35,0.762582363043126,"3.31",0.902363161916179
"X97.5",1.45,0.730685543174397,"3.31",0.876380297858549
"X97.5",1.55,0.721207984307945,"3.31",0.848546727307837
"X97.5",1.65,0.697017018523401,"3.31",0.819388676193645
"X97.5",1.75,0.698022426587302,"3.31",0.789386551332845
"X97.5",1.85,0.667741358538244,"3.31",0.758961933920448
"X97.5",1.95,0.647445493617063,"3.31",0.728473171302846
"X97.5",10.05,0.0150533680143839,"3.31",0.0357709419661609
"X97.5",10.15,0.0188114827529234,"3.31",0.0348517371927208
"X97.5",10.25,0.0149494867739224,"3.31",0.0339627638000684
"X97.5",10.35,0.0138730865999071,"3.31",0.0331028193447008
"X97.5",10.45,0.013512964976831,"3.31",0.0322707570751842
"X97.5",10.55,0.0158141586927693,"3.31",0.0314654830109071
"X97.5",10.65,0.0126247265256352,"3.31",0.0306859531905603
"X97.5",10.75,0.0126526592363722,"3.31",0.0299311710796064
"X97.5",10.85,0.0131284529052423,"3.31",0.0292001851268074
"X97.5",10.95,0.0152062388800249,"3.31",0.0284920864604183
"X97.5",11.05,0.0204306198012071,"3.31",0.0278060067249626
"X97.5",11.15,0.022087038273155,"3.31",0.0271411159930857
"X97.5",11.25,0.0190401400384689,"3.31",0.026496620888237
"X97.5",11.35,0.0176251536403315,"3.31",0.0258717627201186
"X97.5",11.45,0.0152004366264152,"3.31",0.0252658157694297
"X97.5",11.55,0.0166860606714638,"3.31",0.0246780856585616
"X97.5",11.65,0.0191153028291927,"3.31",0.0241079078118463
"X97.5",11.75,0.0189409630567283,"3.31",0.0235546460001721
"X97.5",11.85,0.0187529106891404,"3.31",0.0230176909647546
"X97.5",11.95,0.015580905473147,"3.31",0.0224964591154104
"X97.5",12.05,0.0162295935971017,"3.31",0.0219903912988994
"X97.5",12.15,0.0179909427296314,"3.31",0.0214989516332036
"X97.5",12.25,0.0143989888006436,"3.31",0.021021626403868
"X97.5",12.35,0.0136909338554057,"3.31",0.0205579230187784
"X97.5",12.45,0.0119941248816109,"3.31",0.020107369017979
"X97.5",12.55,0.0137131600852563,"3.31",0.0196695111353462
"X97.5",12.65,0.0126871354815801,"3.31",0.019243914409134
"X97.5",12.75,0.0105972737914695,"3.31",0.0188301613385885
"X97.5",12.85,0.0118009049396068,"3.31",0.0184278510840383
"X97.5",12.95,0.011547835359005,"3.31",0.0180365987079192
"X97.5",13.05,0.0125926758768216,"3.31",0.0176560344545277
"X97.5",13.15,0.0113073468051857,"3.31",0.017285803066255
"X97.5",13.25,0.0124076646095225,"3.31",0.0169255631342951
"X97.5",13.35,0.0107624946561987,"3.31",0.0165749864819085
"X97.5",13.45,0.0106038132379059,"3.31",0.0162337575784424
"X97.5",13.55,0.0103900328306835,"3.31",0.0159015729824175
"X97.5",13.65,0.00925877574562149,"3.31",0.0155781408120914
"X97.5",13.75,0.00904414377258476,"3.31",0.0152631802420042
"X97.5",13.85,0.00818519579083843,"3.31",0.0149564210240995
"X97.5",13.95,0.00774634192273824,"3.31",0.0146576030320982
"X97.5",14.05,0.00800590132621228,"3.31",0.0143664758278774
"X97.5",14.15,0.00691391783788601,"3.31",0.0140827982486831
"X97.5",14.25,0.00635516302971083,"3.31",0.0138063380140711
"X97.5",14.35,0.00545922139057271,"3.31",0.0135368713515336
"X97.5",14.45,0.0050359358160731,"3.31",0.0132741826398324
"X97.5",14.55,0.00370673145365594,"3.31",0.0130180640691121
"X97.5",14.65,0.00369196696646449,"3.31",0.0127683153169209
"X97.5",14.75,0.0031072360557368,"3.31",0.0125247432393175
"X97.5",14.85,0.00261109850515941,"3.31",0.0122871615762858
"X97.5",14.95,0.0024249152449415,"3.31",0.0120553906707262
"X97.5",15.05,0.00205054676574477,"3.31",0.0118292572003303
"X97.5",15.15,0.00197934733504321,"3.31",0.0116085939216869
"X97.5",15.25,0.00172734627019774,"3.31",0.0113932394260007
"X97.5",15.35,0.00155352743802314,"3.31",0.0111830379058422
"X97.5",15.45,0.00144967274274117,"3.31",0.0109778389323765
"X97.5",15.55,0.00124194721498832,"3.31",0.0107774972425497
"X97.5",15.65,0.00131257169159128,"3.31",0.0105818725357416
"X97.5",15.75,0.00112031283220005,"3.31",0.0103908292803835
"X97.5",15.85,0.000881722543523736,"3.31",0.0102042365233357
"X97.5",15.95,0.000725290188918835,"3.31",0.0100219677219035
"X97.5",16.05,0.000728995547477886,"3.31",0.00984390056426865
"X97.5",16.15,0.0007005392403181,"3.31",0.00966991681179029
"X97.5",16.25,0.00071473448347829,"3.31",0.00949990214252457
"X97.5",16.35,0.000652652841217336,"3.31",0.00933374600239188
"X97.5",16.45,0.000623090876446096,"3.31",0.00917134146270818
"X97.5",16.55,0.000579552936610072,"3.31",0.0090125850837779
"X97.5",16.65,0.000568632194663452,"3.31",0.0088573767842633
"X97.5",16.75,0.000511276304847516,"3.31",0.0087056197160584
"X97.5",16.85,0.000448778430973359,"3.31",0.00855722014441103
"X97.5",16.95,0.000389210767097664,"3.31",0.00841208733304832
"X97.5",17.05,0.000357395395852182,"3.31",0.00827013343407444
"X97.5",17.15,0.000323746956721123,"3.31",0.0081312733828069
"X97.5",17.25,0.000276427297210289,"3.31",0.00799542479505867
"X97.5",17.35,0.000237499140884471,"3.31",0.0078625078722788
"X97.5",17.45,0.000223728763703016,"3.31",0.00773244530703413
"X97.5",17.55,0.000196405102671034,"3.31",0.00760516219401887
"X97.5",17.65,0.000175722678302722,"3.31",0.00748058594368654
"X97.5",17.75,0.000169032346298317,"3.31",0.00735864620322261
"X97.5",17.85,0.000144926001671075,"3.31",0.00723927477107286
"X97.5",17.95,0.000124848944500543,"3.31",0.00712240552759989
"X97.5",18.05,9.71508177122796e-05,"3.31",0.00700797435997606
"X97.5",18.15,8.15202913019842e-05,"3.31",0.00689591908901554
"X97.5",18.25,8.15335465293869e-05,"3.31",0.00678617940776611
"X97.5",18.35,5.46918339143725e-05,"3.31",0.00667869681306948
"X97.5",18.45,4.00376513182955e-05,"3.31",0.00657341454446603
"X97.5",18.55,2.6818352685808e-05,"3.31",0.00647027752453962
"X97.5",18.65,1.89647223201179e-05,"3.31",0.00636923230156437
"X97.5",18.75,1.2917072112072e-05,"3.31",0.00627022699338918
"X97.5",18.85,5.7716117344208e-06,"3.31",0.0061732112382613
"X97.5",18.95,8.05428554227479e-07,"3.31",0.00607813613801043
"X97.5",19.05,4.06450025969861e-06,"3.31",0.00598495421379193
"X97.5",19.15,7.33240929378807e-07,"3.31",0.00589361935306102
"X97.5",19.25,9.68232988593343e-07,"3.31",0.00580408677376983
"X97.5",19.35,1.81652787752385e-06,"3.31",0.0057163129719206
"X97.5",19.45,8.60449563051304e-07,"3.31",0.0056302556804046
"X97.5",19.55,0,"3.31",0.00554587383326727
"X97.5",19.65,8.99335726937315e-07,"3.31",0.00546312752278207
"X97.5",19.75,0,"3.31",0.00538197796278061
"X97.5",19.85,0,"3.31",0.00530238745241244
"X97.5",19.95,0,"3.31",0.00522431934121047
"X97.5",2.05,0.627802062469239,"3.31",0.69821653151514
"X97.5",2.15,0.607477521698311,"3.31",0.668430640800436
"X97.5",2.25,0.593961202815198,"3.31",0.639302603388081
"X97.5",2.35,0.567784155943802,"3.31",0.610974742094393
"X97.5",2.45,0.547338313992092,"3.31",0.583551297246638
"X97.5",2.55,0.547495765960478,"3.31",0.557104700875489
"X97.5",2.65,0.543351703316213,"3.31",0.531681230748061
"X97.5",2.75,0.515734200419714,"3.31",0.507305969372744
"X97.5",2.85,0.498058291461035,"3.31",0.483987066813102
"X97.5",2.95,0.491036593633319,"3.31",0.461719348302342
"X97.5",20.05,0,"3.31",0.00514773799543254
"X97.5",20.15,0,"3.31",0.00507260876561877
"X97.5",20.25,0,"3.31",0.00499889795531716
"X97.5",20.35,0,"3.31",0.00492657278996467
"X97.5",20.45,0,"3.31",0.00485560139167466
"X97.5",20.55,0,"3.31",0.00478595274539931
"X97.5",20.65,1.55723827975917e-06,"3.31",0.00471759667574399
"X97.5",20.75,0,"3.31",0.00465050381990636
"X97.5",20.85,0,"3.31",0.00458464560249769
"X97.5",20.95,0,"3.31",0.00451999421124514
"X97.5",21.05,0,"3.31",0.00445652257354037
"X97.5",21.15,0,"3.31",0.00439420433380191
"X97.5",21.25,0,"3.31",0.00433301383161981
"X97.5",21.35,0,"3.31",0.0042729260806524
"X97.5",21.45,0,"3.31",0.00421391674824652
"X97.5",21.55,0,"3.31",0.00415596213575354
"X97.5",21.65,0,"3.31",0.00409903915951472
"X97.5",21.75,0,"3.31",0.0040431253324906
"X97.5",21.85,0,"3.31",0.00398819874651025
"X97.5",21.95,0,"3.31",0.00393423805511684
"X97.5",22.05,1.36801950178678e-06,"3.31",0.00388122245698762
"X97.5",22.15,0,"3.31",0.00382913167990643
"X97.5",22.25,0,"3.31",0.00377794596526879
"X97.5",22.35,0,"3.31",0.00372764605309933
"X97.5",22.45,0,"3.31",0.0036782131675631
"X97.5",22.55,0,"3.31",0.00362962900295247
"X97.5",22.65,0,"3.31",0.00358187571013228
"X97.5",22.75,0,"3.31",0.00353493588342645
"X97.5",22.85,0,"3.31",0.00348879254793031
"X97.5",22.95,0,"3.31",0.00344342914723286
"X97.5",23.05,0,"3.31",0.00339882953153471
"X97.5",23.15,0,"3.31",0.00335497794614698
"X97.5",23.25,0,"3.31",0.00331185902035807
"X97.5",23.35,0,"3.31",0.0032694577566545
"X97.5",23.45,0,"3.31",0.00322775952028442
"X97.5",23.55,0,"3.31",0.00318675003013143
"X97.5",23.65,0,"3.31",0.00314641534500236
"X97.5",23.75,0,"3.31",0.00310674186002945
"X97.5",23.85,0,"3.31",0.00306771629356339
"X97.5",23.95,0,"3.31",0.0030293256792542
"X97.5",24.05,0,"3.31",0.00299155735742822
"X97.5",24.15,0,"3.31",0.00295439896673143
"X97.5",24.25,0,"3.31",0.00291783843603038
